"CONCEPTO","CATEGORIA","UNIDAD","ULTIMO_PRECIO","FECHA_ULTIMO_PRECIO"
"BROCA 13/32""","SIERRAS, CUCHILLAS Y BROCAS","PZ","",""
"BROCA 13/64""","SIERRAS, CUCHILLAS Y BROCAS","PZ","",""
"BROCA 15/32""","SIERRAS, CUCHILLAS Y BROCAS","PZ","",""
"BROCA 3/16""","SIERRAS, CUCHILLAS Y BROCAS","PZ","20.25","2024-07-01"
"BROCA 3/4X5/8X1/2 FBCM3/4 SACSA","SIERRAS, CUCHILLAS Y BROCAS","PZ","",""
"BROCA 5/16""","SIERRAS, CUCHILLAS Y BROCAS","PZ","",""
"BROCA 5/16"" X 12"" 2610041226","SIERRAS, CUCHILLAS Y BROCAS","PZ","",""
"BROCA 5/32""","SIERRAS, CUCHILLAS Y BROCAS","PZ","15.0","2025-12-03"
"BROCA 5/64""","SIERRAS, CUCHILLAS Y BROCAS","PZ","",""
"BROCA 5/8""","SIERRAS, CUCHILLAS Y BROCAS","PZ","",""
"BROCA 7/32""","SIERRAS, CUCHILLAS Y BROCAS","PZ","",""
"BROCA 7/64""","SIERRAS, CUCHILLAS Y BROCAS","PZ","",""
"BROCA 7/8""","SIERRAS, CUCHILLAS Y BROCAS","PZ","",""
"BROCA 9/64""","SIERRAS, CUCHILLAS Y BROCAS","PZ","",""
"BROCA CHAFLAN 1/4X1 C/BALERO MD-530C","SIERRAS, CUCHILLAS Y BROCAS","PZ","",""
"BROCA CORTADOR 2 FILOS 1/2 X 1/2 X 2 BRG-779C","SIERRAS, CUCHILLAS Y BROCAS","PZ","269.23","2025-11-13"
"BROCA CORTADOR 2 FILOS 1/2X1 BRG-778C","SIERRAS, CUCHILLAS Y BROCAS","PZ","230.28","2025-04-04"
"BROCA CORTADOR 2 FILOS 1/2X3/8 BRG-772C","SIERRAS, CUCHILLAS Y BROCAS","PZ","",""
"BROCA CORTADOR 2 FILOS 1/4 X 1 BR-09C","SIERRAS, CUCHILLAS Y BROCAS","PZ","116.79","2025-04-04"
"BROCA CORTADOR 2 FILOS 1/4 X 1/4 X 3/4 BR-08C","SIERRAS, CUCHILLAS Y BROCAS","PZ","",""
"BROCA CORTADOR 2 FILOS 1/4 X 3/8 X 1"" BR-12C","SIERRAS, CUCHILLAS Y BROCAS","PZ","206.9","2026-04-07"
"BROCA CORTADOR 2 FILOS 1/4X5/8X3/4 BR-20028C","SIERRAS, CUCHILLAS Y BROCAS","PZ","",""
"BROCA CORTADOR 3 FILOS 1/2 X 1/2 X 2"" BRG-1001C","SIERRAS, CUCHILLAS Y BROCAS","PZ","328.02","2025-09-01"
"BROCA DE ACERO ALTA VELOCIDAD NEGRA ZANCO LARGO 5/16""","SIERRAS, CUCHILLAS Y BROCAS","PZ","440.0","2026-03-13"
"BROCA DIAMANTE CORTACIRCULOS DE 1"" P/CONCRETO C/MANDRIL","SIERRAS, CUCHILLAS Y BROCAS","PZ","",""
"BROCA FORSTNER 35MM MILWAUKEE 48-14-1376","SIERRAS, CUCHILLAS Y BROCAS","PZ","377.59","2026-05-06"
"BROCA FRESA CHAFLAN ZANCO DE 1/2 X 3"" FREMOLMEX","SIERRAS, CUCHILLAS Y BROCAS","PZ","",""
"BROCA HM 2"" FBCM2 SACSA 45°","SIERRAS, CUCHILLAS Y BROCAS","PZ","1017.0","2024-12-06"
"BROCA HM 3/8 X 1-1/2 X 1/2 FABRICACION ESPECIAL FBC11/2","SIERRAS, CUCHILLAS Y BROCAS","PZ","756.35","2025-01-16"
"BROCA HM 3/8 X 1-1/4 X 1/2 WHITESIDE #1063","SIERRAS, CUCHILLAS Y BROCAS","PZ","654.8","2025-01-15"
"BROCA HM DE 2"" FBCM2 SACSA 45°","SIERRAS, CUCHILLAS Y BROCAS","PZ","",""
"BROCA MEDIA CAÑA 1/4X1/2 MD-465C","SIERRAS, CUCHILLAS Y BROCAS","PZ","",""
"BROCA MEDIA CAÑA HM 5/8X1-1/2X2X1/2 FABRICACION ESP BROCA992 SACSA","SIERRAS, CUCHILLAS Y BROCAS","PZ","752.96","2025-07-21"
"BROCA MEDIA CAÑA ZANCO DE 1/2 X 5/8 LARGA DE 1-1/2"" FREMOLMEX","SIERRAS, CUCHILLAS Y BROCAS","PZ","",""
"BROCA MOLDURA LAMINADA DE ALUMINIO INVECTRA DE CARBURO 1/4 X 5/8 X 1/2""","SIERRAS, CUCHILLAS Y BROCAS","PZ","",""
"BROCA MULTICONSTRUCCION MILWAUKE 3/16"" X 6"" 48208884","SIERRAS, CUCHILLAS Y BROCAS","PZ","75.86","2024-12-17"
"BROCA PARA CLAVACOTE 1/2 MM-363 PASA A BC-628C","SIERRAS, CUCHILLAS Y BROCAS","PZ","",""
"BROCA PARA CLAVACOTE 1/2X2 BC-630C","SIERRAS, CUCHILLAS Y BROCAS","PZ","175.6","2025-07-25"
"BROCA PARA CLAVACOTE 3/8 BC-828-2C","SIERRAS, CUCHILLAS Y BROCAS","PZ","",""
"BROCA PARA CONCRETO 1/2 X 6","SIERRAS, CUCHILLAS Y BROCAS","PZ","",""
"BROCA PARA ESCOPLO D-12mm. GL-115mm, NL-70mm FELDER GROUP (BROCA DE RANURA PRECISION)","SIERRAS, CUCHILLAS Y BROCAS","PZ","",""
"BROCA PARA ESCOPLO D-6mm. FELDER GROUP (FRESADORA DE RANURADO PRECISION)","SIERRAS, CUCHILLAS Y BROCAS","PZ","",""
"BROCA PARA ESCOPLO D-8mm. FELDER GROUP (FRESADORA DE RANURADO PRECISION)","SIERRAS, CUCHILLAS Y BROCAS","PZ","",""
"BROCA PARA ESCOPLO DE CARBURO 1/2X1X2-3/4X1/2X6 AMANA TOOL NO. 45540","SIERRAS, CUCHILLAS Y BROCAS","PZ","1440.55","2025-04-15"
"BROCA PARA ESCOPLO HM 1/2 X 3/8 X 9.53 FCB1/2 SACSA","SIERRAS, CUCHILLAS Y BROCAS","PZ","972","2025-05-06"
"BROCA PARA METAL 1/4 X 10""","SIERRAS, CUCHILLAS Y BROCAS","PZ","",""
"BROCA PARA METAL 1/4X12""","SIERRAS, CUCHILLAS Y BROCAS","PZ","",""
"BROCA PARA ROUTER 1/4 X 5/8"" X 1/4"" CORTE RECTO MCA TRUPER 102720","SIERRAS, CUCHILLAS Y BROCAS","PZ","",""
"BROCA PARA ROUTER 1/4"" X 1"" X 1/4"" CORTE RECTO MCA TRUPER 11453","SIERRAS, CUCHILLAS Y BROCAS","PZ","",""
"BROCA PARA ROUTER 1/4"" X 3/4"" X 1/4"" CORTE RECTO MCA TRUPER 11452","SIERRAS, CUCHILLAS Y BROCAS","PZ","",""
"BROCA PARA ROUTER SANCO DE 1/2 CON CUCHILLA DE CARBURO DE TUNGSTENO","SIERRAS, CUCHILLAS Y BROCAS","PZ","",""
"BROCA PARA TALADRO MULTIPLE 1/4"" DERECHA 70 X 10","SIERRAS, CUCHILLAS Y BROCAS","PZ","",""
"BROCA PARA TALADRO MULTIPLE 1/4"" IZQUIERDA 70 X 10","SIERRAS, CUCHILLAS Y BROCAS","PZ","",""
"BROCA PARA TALADRO MULTIPLE 3/16"" DERECHA 70 X 10","SIERRAS, CUCHILLAS Y BROCAS","PZ","",""
"BROCA PARA TALADRO MULTIPLE 3/16"" IZQUIERDA 70 X 10","SIERRAS, CUCHILLAS Y BROCAS","PZ","",""
"BROCA PARA TALADRO MULTIPLE 3/8"" DERECHA 70 X 10","SIERRAS, CUCHILLAS Y BROCAS","PZ","",""
"BROCA PARA TALADRO MULTIPLE 3/8"" IZQUIERDA 70 X 10","SIERRAS, CUCHILLAS Y BROCAS","PZ","",""
"BROCA PARA VIDRIO TRUPER 11705 1/2""","SIERRAS, CUCHILLAS Y BROCAS","PZ","",""
"BROCA PERFILADOR 1-1/2 PF-626C","SIERRAS, CUCHILLAS Y BROCAS","PZ","",""
"BROCA PERFILADOR 3 FILOS 1/2 X 1/2 X 1-1/2"" LOBUS PF-624C","SIERRAS, CUCHILLAS Y BROCAS","PZ","",""
"BROCA PERFILADOR 3 FILOS 2"" PF-625C","SIERRAS, CUCHILLAS Y BROCAS","PZ","337.19","2025-11-13"
"BROCA PLANA O MANITA MAKITA 1"" D-24614","SIERRAS, CUCHILLAS Y BROCAS","PZ","44.46","2026-02-27"
"BROCA PLANA O MANITA MAKITA 1-1/2"" D-26509","SIERRAS, CUCHILLAS Y BROCAS","PZ","79.56","2026-02-27"
"BROCA PLANA O MANITA MAKITA 1-1/4"" D-24658","SIERRAS, CUCHILLAS Y BROCAS","PZ","",""
"BROCA PLANA O MANITA MAKITA 1/2"" D-26490","SIERRAS, CUCHILLAS Y BROCAS","PZ","30.41","2026-02-27"
"BROCA PLANA O MANITA MAKITA 1/4"" D-24016","SIERRAS, CUCHILLAS Y BROCAS","PZ","",""
"BROCA PLANA O MANITA MAKITA 3/4"" D-24583","SIERRAS, CUCHILLAS Y BROCAS","PZ","37.44","2026-02-27"
"BROCA PLANA O MANITA MAKITA 3/8"" X6"" D-24527","SIERRAS, CUCHILLAS Y BROCAS","PZ","47.41","2026-02-18"
"BROCA PLANA O MANITA MAKITA 5/8"" X 6"" D24561","SIERRAS, CUCHILLAS Y BROCAS","PZ","",""
"BROCA PLANA O MANITA MAKITA 7/8"" D-24000","SIERRAS, CUCHILLAS Y BROCAS","PZ","43.29","2026-02-27"
"BROCA RECTA 2 FILOS 1/2X1/2 BRG-774C","SIERRAS, CUCHILLAS Y BROCAS","PZ","",""
"BROCA RECTA 2 FILOS 1/2X3/4 BRG-776C","SIERRAS, CUCHILLAS Y BROCAS","PZ","",""
"BROCA SDS 1"" X 8"" X 10"" 2608685972","SIERRAS, CUCHILLAS Y BROCAS","PZ","",""
"BROCA SDS 1/2"" X 12"" TRUPER","SIERRAS, CUCHILLAS Y BROCAS","PZ","",""
"BROCA SDS 1/4 X 10""","SIERRAS, CUCHILLAS Y BROCAS","PZ","",""
"BROCA SDS 3/16 X 4""","SIERRAS, CUCHILLAS Y BROCAS","PZ","",""
"BROCA SDS 3/8 X 12"" BREENFIELD","SIERRAS, CUCHILLAS Y BROCAS","PZ","",""
"BROCA SDS PLUS 1/4 X 12"" TRUPER CODIGO: 101144 BS-1/4X12","SIERRAS, CUCHILLAS Y BROCAS","PZ","53.45","2025-05-07"
"BROCA SDS PLUS 1/4 X 6-1/4 D00876","SIERRAS, CUCHILLAS Y BROCAS","PZ","29.25","2025-03-24"
"BROCA SDS PLUS 1/4 X 8-1/4 D00882","SIERRAS, CUCHILLAS Y BROCAS","PZ","37.44","2025-04-25"
"BROCA SDS PLUS 3/16 X 6 48-20-7411 MILWAUKEE","SIERRAS, CUCHILLAS Y BROCAS","PZ","125.0","2025-11-07"
"BROCA SDS PLUS 3/16 X 6-1/4 X 3-5/8 D00832","SIERRAS, CUCHILLAS Y BROCAS","PZ","29.25","2025-11-07"
"BROCA SDS PLUS 3/8 X 6-1/4 X 3-5/8 D00929","SIERRAS, CUCHILLAS Y BROCAS","PZ","32.76","2025-03-24"
"BROCA SDS PLUS 5/16 X 6-1/4 X 3-5/8 D00907","SIERRAS, CUCHILLAS Y BROCAS","PZ","29.25","2025-11-10"
"BROCA SDS PLUS 5/8 X 12"" DW5447","SIERRAS, CUCHILLAS Y BROCAS","PZ","262.93","2025-08-04"
"BROCA SIERRA BI METALICA DE 4"" MILWAUKEE","SIERRAS, CUCHILLAS Y BROCAS","PZ","430.17","2024-01-15"
"BROCA SIERRA BI METALICA DE 4-1/2"" MILWAUKEE","SIERRAS, CUCHILLAS Y BROCAS","PZ","576.72","2024-01-15"
"BROCA SIERRA CON DIAMANTE 1-1/4"" TRUPER 17128","SIERRAS, CUCHILLAS Y BROCAS","PZ","258.62","2025-08-05"
"BROCA SIERRA CON DIAMANTE 3/4"" TRUPER 17124","SIERRAS, CUCHILLAS Y BROCAS","PZ","168.1","2025-07-14"
"BROCA ZANCO ALTA VELOCIDAD 1"" X 1/2"" GLT 20-364","BARNIZ, ACEITE Y PINTURA","PZ","869.62","2025-09-26"
"BROCA ZANCO ALTA VELOCIDAD 5/16"" X 12"" NEGRA DE ACERO BZL5/16 URREA","BARNIZ, ACEITE Y PINTURA","PZ","440","2026-03-13"
"BROCA ZANCO ALTA VELOCIDAD 7/8"" X 1/2"" GLT 20-356","BARNIZ, ACEITE Y PINTURA","PZ","766.49","2025-09-26"
"BROCHA 1"" CERDAS NORMALES","BARNIZ, ACEITE Y PINTURA","PZ","6.98","2026-02-27"
"BROCHA 1"" PELO DE CAMELLO","BARNIZ, ACEITE Y PINTURA","PZ","",""
"BROCHA 1-1/2"" CERDAS NORMALES","BARNIZ, ACEITE Y PINTURA","PZ","12.5","2025-11-12"
"BROCHA 1/2"" CERDAS NATURALES","BARNIZ, ACEITE Y PINTURA","PZ","7.76","2025-01-02"
"BROCHA 2"" CERADAS NORMALES","BARNIZ, ACEITE Y PINTURA","PZ","10.46","2026-02-27"
"BROCHA 2"" PELO DE CAMELLO","BARNIZ, ACEITE Y PINTURA","PZ","31.9","2025-07-17"
"BROCHA 2-1/2"" CERADAS NORMALES","BARNIZ, ACEITE Y PINTURA","PZ","31.9","2024-12-19"
"BROCHA 2-1/2"" CERDAS NORMALES","BARNIZ, ACEITE Y PINTURA","PZ","14.52","2026-02-27"
"BROCHA 3"" CERDAS NORMALES","BARNIZ, ACEITE Y PINTURA","PZ","17.86","2026-02-27"
"BROCHA 3"" PELO DE CAMELLO","BARNIZ, ACEITE Y PINTURA","PZ","61.21","2025-10-04"
"BROCHA 4"" CERDAS NORMALES","BARNIZ, ACEITE Y PINTURA","PZ","28.04","2026-02-27"
"BROCHA 4"" PELO DE CAMELLO","BARNIZ, ACEITE Y PINTURA","PZ","99.14","2025-01-02"
"BROCHA 4"" PREMIER CERDAS LARGAS","BARNIZ, ACEITE Y PINTURA","PZ","",""
"BROCHE DE PRESIÓN CON IMÁN 3.7 X 5.5 CM NEGRO HANDY HOME MOD. 53350","FERRETERIA","PZ","23.28","2025-12-29"
"BROCHE DE PRESIÓN CON IMÁN DE 6 X 4.5 X 2 CM NEGRO HANDY HOME MOD. 53351","FERRETERIA","PZ","26.72","2025-12-29"
"BROCHE ESCARABAJO M3514-BL","FERRETERIA","PZ","26.97","2025-11-20"
"BROCHE MAGNETICO IMAN SENCILLO CAFÉ CT 3347 HANDY HOME","FERRETERIA","PZ","5.64","2026-03-24"
"BROCHE PARA BAUL LATON ANTIGUO 1.5"" MROMAX ‎MRO190816L-0004","FERRETERIA","PZ","50.86","2026-03-18"
"BUJE PARA CALADORA DEWALT DW317 582259-00","FERRETERIA","PZ","77.59","2025-01-10"
"BURLETE GUILLOTINA LF P/PUERTAS  DE MADERA 1050mm ALUMINIO ANODIZADO - antispiferos CYMISA","FERRETERIA","PZ","",""
"BURLETE GUILLOTINA LF P/PUERTAS  DE MADERA 950mm ALUMINIO ANODIZADO - antispiferos CYMISA","FERRETERIA","PZ","944.71","2026-04-24"
"CABLE DUPLEX #14","ELECTRICO E ILUMINACION","MT","25.86","2026-03-13"
"CABLE P/SOLDAR NO. 2","ELECTRICO E ILUMINACION","MT","",""
"CABLE USO RUDO 3X12 300V IUSA","ELECTRICO E ILUMINACION","MT","",""
"CABLE USO RUDO 4X12 300V IUSA","ELECTRICO E ILUMINACION","MT","",""
"CADENA CORTADA 3/8"" 0.43 PMMC3 MS-180 36100000055","METALICOS","PZ","",""
"CADENA CORTADA 3/8"" 0.63/1.6 25""/63 36 RSC 36210000084","FERRETERIA","PZ","414.66","2025-01-21"
"CADENA CORTADA 3/8"" PMC MICRO 1.1/0.43"" 16"" 36100000056","FERRETERIA","PZ","226.82","2024-12-12"
"CAJA CADENA PASO 40 JAPONESA","FERRETERIA","PZ","",""
"CAJA CONEXION RECTANGULAR FS 12.7 MM RAWELT","CONSTRUCCION","PZ","",""
"CAJA DE PLASTICO TRANSPARENTE 3X3","FERRETERIA","PZ","",""
"CAJA PARA HERRAMIENTA TRUPER COD. 10902, 23'x17' CON RUEDAS SKU: 7506240648901","FERRETERIA","PZ","719.83","2026-03-03"
"CANAL MONTEN 4"" X 6 MT C.14","CONSTRUCCION","PZ","",""
"CANAL MONTEN 6"" X 6 MT C.14","CONSTRUCCION","PZ","",""
"CANASTILLA EXTRAIBLE PARA CESTOS (BASURA) HANDY HOME CODIGO 5506","FERRETERIA","KIT","",""
"CANDADO HERMEX BASIC 50MM CH-50P","FERRETERIA","PZ","94.83","2025-05-07"
"CANDADO PHILLIPS 113 GENELOS SP 1178","FERRETERIA","JG","",""
"CANDADO PHILLIPS TX-9 2186","FERRETERIA","PZ","",""
"CARBON PARA CEPILLO ELECTRICO DEWALT 575963-02","REPUESTOS HERRAMIENTAS","PZ","",""
"CARBON PARA INGLETE 38102808B DEWALT","REPUESTOS HERRAMIENTAS","PZ","",""
"CARBON PARA INGLETE DEWALT DW717 N032830","REPUESTOS HERRAMIENTAS","PAR","189.66","2025-02-17"
"CARBON PARA ROUTER DEWALT D-26670","REPUESTOS HERRAMIENTAS","PZ","",""
"CARBONES ESCOBILLA PARA LIJADORA ORBITAL Gex 125-1 Ae 1387 BOSCH","REPUESTOS HERRAMIENTAS","PAR","152.1","2025-01-13"
"CARBONES PARA AMOLADORA DEWALT DWE4120-AR","REPUESTOS HERRAMIENTAS","PAR","185.34","2025-02-13"
"CARBONES PARA PULIDORA ORBITAL DEWALT DWE6421 N292059","REPUESTOS HERRAMIENTAS","PAR","103.45","2026-02-25"
"CARBONES PARA ROUTER BOSCH 1617EVS","REPUESTOS HERRAMIENTAS","PAR","",""
"CARBONES PARA SIERRA INGLETEADORA DEWALT DWS715 614367-00","REPUESTOS HERRAMIENTAS","PAR","172.41","2026-02-25"
"CARDA DE COPA 4"" CO-0510MM 11532","FERRETERIA","PZ","128.88","2024-05-01"
"CARDA DIAM 3"" C/ZANCO CA-3F 11575","FERRETERIA","PZ","",""
"CARGADOR DE BATERIAS I 12V/20V DEWALT  DCB1104-B3 2024 44QX","HERRAMIENTAS","PZ","",""
"CARGADOR DE BATERIAS I 18V 8A BOSCH GAL 1880 CV 000263","HERRAMIENTAS","PZ","",""
"CARGADOR DE BATERIAS II 12V/20V DEWALT  DCB1104-B3 2024 44QX","HERRAMIENTAS","PZ","",""
"CARGADOR DE BATERIAS II 18V 8A BOSCH GAL 1880 CV 000472","HERRAMIENTAS","PZ","",""
"CARGADOR DE CELULAR PARA AUTOS I 30W USB C/CABLE 3-PTOS UGREEN 40858 S/N","HERRAMIENTAS","KIT","",""
"CARGADOR DE CELULAR PARA AUTOS II 30W USB C/CABLE 3-PTOS UGREEN 40858 S/N","HERRAMIENTAS","KIT","",""
"CARGADOR DE CELULAR PARA AUTOS III 30W USB C/CABLE 3-PTOS UGREEN 40858 S/N","HERRAMIENTAS","KIT","",""
"CARGADOR DEWALT DCB0118 CARGA RAPIDA","REPUESTOS HERRAMIENTAS","PZ","",""
"CARRETILLA 4 RUEDAS WILCOT PLUS CAR4RGC","FERRETERIA","PZ","",""
"CARRETILLA GORRA DE NAPOLEON LINEA 2""","FERRETERIA","PZ","",""
"CARRETILLA LINEA 2"" GORRA NAPOLEON BALERO PF2","FERRETERIA","PZ","",""
"CARRETILLA LINEA 3"" ZOCLO PUERTA TIPO ESPAÑOLA","FERRETERIA","PZ","",""
"CARRETILLA TANDEM (2 RUEDAS) S-70, S-100 AJUST P/3"" GT-103/3 ALMI","FERRETERIA","PZ","359.62","2026-05-04"
"CARRETILLA TANDEM (2 RUEDAS) S-70, S-1000 GT1033ALMI","FERRETERIA","PZ","",""
"CARRETILLA TANDEM LINEA 3"" DOBLE BALERO TECNOMX","FERRETERIA","PZ","70.6","2025-03-24"
"CARRETILLA TROLE DE CARGA 1/2 TON PARA VIGAS IPS E IPR AJUSTABLE","FERRETERIA","PZ","",""
"CARTON CORRUGADO 1.20 MT X 100 MT","PAPELERIA","ROLLO","",""
"CARTON CORRUGADO 1.60 MT","PAPELERIA","ROLLO","2295.41","2026-03-03"
"CARTON CORRUGADO RC-7001 MTY","PAPELERIA","ROLLO","2349.0","2026-01-13"
"CARTUCHO P/MASCARILLA RESPIRADOR SURTEK 137354","EQ SEGURIDAD","PZ","60.34","2025-01-02"
"CARTUCHO P/RESPIRADOR PRETUL 23393","EQ SEGURIDAD","PZ","",""
"CARTUCHO P/VAPORES ORGANICOS 6001 3M","EQ SEGURIDAD","PAR","309.74","2025-10-21"
"CEMENTO CRUZ AZUL","CONSTRUCCION","BULTO","",""
"CENTRO DE CARGA 2 POLOS 50A 120/24 BTPLUG-028 GEO","ELECTRICO E ILUMINACION","PZ","134.85","2026-01-22"
"CEPILLO CARPINTERO CORRUGADO NO. 5 STANLEY 12-175","HERRAMIENTAS","PZ","770.84","2026-02-27"
"CEPILLO DE ALAMBRE C/MANGO CEA -54 11559","FERRETERIA","PZ","29.25","2025-01-08"
"CEPILLO DE PLASTICO MULTIUSOS IDEAL (03-MEDIANOS Y 01-CHICO)","FERRETERIA","PZ","",""
"CEPILLO MINI DE ALAMBRE (3 TIPOS) 7"" LAGO TRUPER 10652","FERRETERIA","KIT","",""
"CERA NATURAL PARA ZAPATOS","BARNIZ, ACEITE Y PINTURA","PZ","",""
"CERRADURA ASHICO CLOSET REDONDEADA 45X160MM LATON ANTIGUO COD. 761","FERRETERIA","PZ","911.21","2026-04-07"
"CERRADURA DE EMBUTIR BARROCO LL-LL T60 88591 TESA","FERRETERIA","PZ","",""
"CERRADURA DE EMBUTIR PARA PUERTAS CORREDIZAS JNF 20.938.BA","FERRETERIA","PZ","",""
"CERRADURA DE PRIVACIDAD DONTAY LATON ANTIGUO DTDLP-6PLTHP-SQG-2P-AMZ","FERRETERIA","PZ","515.09","2026-05-11"
"CERRADURA HAFELE 911.02.051 SATINADA","FERRETERIA","PZ","",""
"CERRADURA HAFELE DE EMBUTIR 230.17.300 NEGRA","FERRETERIA","PZ","31.41","2025-11-03"
"CERRADURA HAFELE PESTILLO MUERTO 232.40.320 NEGRA","FERRETERIA","PZ","32.1","2026-02-24"
"CERRADURA JAKO CUADRADA MOD. 81 INOX NEGRO P/PUERTA CORREDIZA 125M79","FERRETERIA","PZ","701.03","2026-03-13"
"CERRADURA MANIJA BRUKEN BAÑO CUADRO NIQUEL SATIN MCH4744NS","FERRETERIA","PZ","",""
"CERRADURA MANIJA BRUKEN RECAMARA CUADRO NIQUEL SATIN MCH4743NS","FERRETERIA","PZ","",""
"CERRADURA MANIJA HAFELE ARGOS P/BAÑO V-PACK 499.10.075 SATINADA","FERRETERIA","PZ","736.21","2025-08-12"
"CERRADURA MANIJA HAFELE ARGOS P/BAÑO V-PACK 499.10.168 NEGRA","FERRETERIA","PZ","",""
"CERRADURA MANIJA HAFELE ARGOS P/REC V-PACK 499.10.074 SATINADA","FERRETERIA","PZ","730.6","2025-08-12"
"CERRADURA MANIJA HAFELE ARGOS P/REC V-PACK 499.10.167 NEGRA","FERRETERIA","PZ","1163.5","2026-05-20"
"CERRADURA MANIJA HAFELE ARGOS PUERTA PRINCIPAL 499.10.073","FERRETERIA","KIT","730.6","2025-09-29"
"CERRADURA MANIJA HAFELE ARGOS PUERTA PRINCIPAL 499.10.166 NEGRA","FERRETERIA","KIT","1159.6","2026-02-27"
"CERRADURA MANIJA HAFELE PARA BAÑO 911.02.055","FERRETERIA","PZ","",""
"CERRADURA MULTIPLE DE PUNTOS MOD. 400-50 JAKO","FERRETERIA","KIT","5267.43","2025-01-27"
"CERRADURA P/MUEBLE DEXTER CAÑON GRANDE NEGRO 6423","FERRETERIA","PZ","125.41","2025-08-27"
"CERRADURA P/PUERTA CORREDIZA ETC NIQ. SAT. 151M79 CON ROSETA CUADRADA","FERRETERIA","KIT","335.77","2025-06-02"
"CERRADURA PARA EMBUTIR URREA L2101 LATON ANTIGUO GANCHO","FERRETERIA","PZ","",""
"CERRADURA PARA EMBUTIR URREA L2102 LATON ANTIGUO PALETA","FERRETERIA","PZ","",""
"CERRADURA PHILLIPS MOD X-1000 (01-LATON ANTIGUO, 02-CROMO)","FERRETERIA","PZ","",""
"CERRADURA PHILLIPS MOD X-1000 930 LATON ANTIGUO","FERRETERIA","PZ","",""
"CERRADURA PHILLIPS MOD X-1000 BOLT C-4817","FERRETERIA","PZ","383.06","2025-12-22"
"CERRADURA PHILLIPS MOD X-1000 C-570","FERRETERIA","PZ","325.09","2025-02-05"
"CERRADURA PHILLIPZ 200C","FERRETERIA","PZ","",""
"CERRADURA TOVER ALTA SEGURIDAD TO430-C C/CILINDRO 60MM ALIS","FERRETERIA","PZ","",""
"CERROJO R-15 GALVANIZADO","FERRETERIA","PZ","27.59","2025-11-03"
"CHALECO CON REFLEJANTE CON Y SIN LOGO","EQ SEGURIDAD","PZ","",""
"CHAPA DE RAIZ DE OLMO 0.45X 0.73 CM RAIRAI59130 LA CHAPA","MDF, TRIPLAY, ECOTAB","PZ","",""
"CIERRAPUERTAS USO MEDIO CAP. 65KG MOD. VS-6200SF (CAFÉ) JAKO","FERRETERIA","PZ","1025.28","2026-02-03"
"CIERRE A PRESION MINI LATCH BLANCO 27X34MM 245.54.701 PASA A 245.54.710","FERRETERIA","JG","40.39","2025-02-12"
"CIERRE MAGNETICO MARRON 1.8 KG 246.00.100","FERRETERIA","PZ","25.63","2025-08-18"
"CILINDRO ASHICO DUO LLAVE MARIPOSA LATON ANTIGUO 100MM","FERRETERIA","PZ","862.93","2025-06-27"
"CILINDRO DE SEGURIDAD MAGNUM 100MM LATON ANTIGUO LL-MAR DDS100KNAB IKEDA","FERRETERIA","PZ","831.8","2026-05-05"
"CILINDRO DE SEGURIDAD MAGNUM 120MM SATINADO/NIQUEL LL-MAR DDS120KNSN IKEDA","FERRETERIA","PZ","951.72","2024-12-19"
"CILINDRO DEXTER DELUXE 80MM LLAVE-MARIPOSA A.I. 6570","FERRETERIA","PZ","",""
"CILINDRO HAFELE LLAVE MARIPOSA 7 CM 916.91.902","FERRETERIA","PZ","",""
"CILINDRO HAFELE LLAVE MARIPOSA 7 CM 916.96.566","FERRETERIA","PZ","293.1","2025-12-19"
"CILINDRO PARA MECANISMO LLAVE-LLAVE 90MM 916.64.422 HAFELE","FERRETERIA","PZ","739.02","2026-03-03"
"CILINDRO PARA MECANISMO LLAVE-MARIPOSA 90MM NEGRO 916.64.427 HAFELE","FERRETERIA","PZ","835.26","2026-04-10"
"CILINDRO PARA MECANISMO LLAVE-MARIPOSA 90MM NEGRO ALTA SEG MCA. AKI","FERRETERIA","PZ","",""
"CILINDRO PARA MECANISMO LLAVE-POMO 60MM NEGRO IKEDA (CIL 103 POMO MB-60)","FERRETERIA","PZ","",""
"CINCEL PUNTA PARA DEMOLEDOR","SIERRAS, CUCHILLAS Y BROCAS","PZ","",""
"CINTA ADHESIVA ALUMINIO LISA 2"" X 55 MT SHURTAPE AF-914 A","FERRETERIA","PZ","117.11","2026-05-07"
"CINTA CANELA NAVITEK 95 48MM X 100M","PAPELERIA","PZ","26.46","2025-03-18"
"CINTA DE AISLAR CHICA","MANTENIMIENTO","PZ","",""
"CINTA MULTIUSOS PENNSYLVANIA HOGAR 3/16"" X 3/8""","FERRETERIA","MT","",""
"CINTA TRANSPARENTE NAVITEK 500 48MM X 100M","PAPELERIA","PZ","38.84","2025-10-01"
"CINTA TRANSPARENTE TUK 182 48MM X 100M","PAPELERIA","PZ","26.46","2025-03-18"
"CLAVIJA AEREA 16A 2P+T 230VCA","MANTENIMIENTO","PZ","",""
"CLAVIJA AEREA 16A 3P+T 230VCA","MANTENIMIENTO","PZ","",""
"CLAVIJA AEREA 16A 3P+T 400VCA","MANTENIMIENTO","PZ","",""
"CLAVIJA AEREA 32A 3P+T 230VCA","MANTENIMIENTO","PZ","",""
"CLAVIJA DE BRAQUELITA BLINDADA COOPER WD7411","MANTENIMIENTO","PZ","",""
