"CONCEPTO","CATEGORIA","UNIDAD","ULTIMO_PRECIO","FECHA_ULTIMO_PRECIO"
"ANGULO DE LATON 1/8""X2""X5.50 MTS","METALICOS","TRAMO","5260.39","2026-01-27"
"ANTICONGELANTE ROJO QUAKER STATE 50/50 000517967.","AUTOMOVILES","LT","",""
"ANTICONGELANTE VALUCRAFT","BARNIZ, ACEITE Y PINTURA","LT","21.44","2026-03-12"
"ARANDELA Y BRIDA PARA ESMERILADORA DEWALT","MANTENIMIENTO","JG","",""
"ARENA LAVADA","CONSTRUCCION","CARRO","",""
"ARMEX 15 X 20","CONSTRUCCION","TRAMO","",""
"ATORNILLADOR DE IMPACTO BOSCH GSX 18V-200 429001395","HERRAMIENTAS","PZ","",""
"ATORNILLADOR DE IMPACTO BOSCH GSX 18V-201 427202096","HERRAMIENTAS","PZ","",""
"AUTOZONE ACEITE DE MOTOR CONVENCIONAL MULTIGRADO 10W-30 #AZ10W301","AUTOMOVILES","LT","",""
"AUTOZONE ACEITE PARA ENGRANES GL1 SAE 140 32 OZ","AUTOMOVILES","PZ","",""
"AUTOZONE AFLOJATODO LUBICANTE 14.03 OZ","AUTOMOVILES","PZ","",""
"AUTOZONE ARMOR ALL BRILLO PARA LLANTAS 22OZ #17514","AUTOMOVILES","PZ","",""
"AUTOZONE ECOM ATOMIZADOR LUBRICANTE PENETRANTE #ECO-115","AUTOMOVILES","PZ","",""
"AUTOZONE LIMPIADOR DE PARTES ELECTRICAS #AZM020","AUTOMOVILES","PZ","",""
"AUTOZONE SILICONA #LS-558","AUTOMOVILES","PZ","",""
"AUTOZONE TRATAMIENTO PARA BANDAS 170 ML #TB-559","AUTOMOVILES","PZ","85.34","2025-07-07"
"AVELLANADOR #10 3/16""","FERRETERIA","PZ","48.78","2026-04-15"
"AVELLANADOR ADAPTADOR REVERSIBLE #6 DEWALT DW2700","SIERRAS, CUCHILLAS Y BROCAS","PZ","",""
"AVELLANADOR JUEGO DE 3-PZ (1/4, 9/64, 11/64) A99661","SIERRAS, CUCHILLAS Y BROCAS","JG","",""
"AVELLANADOR LOBUS 1/2 AV-632C","FERRETERIA","PZ","",""
"AVELLANADOR LOBUS 3/8 AV-631C","SIERRAS, CUCHILLAS Y BROCAS","PZ","",""
"BAGUETA (CANAL) DE ALUMINIO NATURAL 1/2"" 6.10 MT","METALICOS","TRAMO","",""
"BAGUETA (CANAL) DE ALUMINIO NEGRO 3/8"" 6.00 MT","METALICOS","TRAMO","155.17","2026-05-15"
"BAJO ALFOMBRA 8mm (2 MT ALTURA)","PAPELERIA","MT","",""
"BALERO 4307 B","MANTENIMIENTO","PZ","",""
"BALERO 6000 URB URB06000","FERRETERIA","PZ","",""
"BALERO 6001 - C - 2HRS - L038 FAG","FERRETERIA","PZ","",""
"BALERO 6001 URB URB06001","FERRETERIA","PZ","",""
"BALERO 6002 2RSR L038 C3 FAG","FERRETERIA","PZ","",""
"BALERO 6002 LHV N329082","MANTENIMIENTO","PZ","120.69","2026-02-25"
"BALERO 6002 URB URB06002","FERRETERIA","PZ","",""
"BALERO 6003 2RSR FAG","FERRETERIA","PZ","",""
"BALERO 6004 2RSR FAG","FERRETERIA","PZ","112.07","2025-09-10"
"BALERO 6005 - 2RSH SKF","FERRETERIA","PZ","103.45","2025-06-24"
"BALERO 608 URB P-20/5 URB00608","FERRETERIA","PZ","",""
"BALERO 6201 - 2RSH/C3 SKF","FERRETERIA","PZ","43.1","2025-06-24"
"BALERO 6201 URB URB06201","FERRETERIA","PZ","",""
"BALERO 6203 2RS FAG","FERRETERIA","PZ","103.45","2026-02-12"
"BALERO 6204 2RSR C3 L38 FAG","FERRETERIA","PZ","",""
"BALERO 6204 ZZC3 EUR","FERRETERIA","PZ","",""
"BALERO 6205 2RS FAG","FERRETERIA","PZ","159.48","2026-02-12"
"BALERO 6206 EE SNR","FERRETERIA","PZ","",""
"BALERO 6207 - 2RSC3 SKF","MANTENIMIENTO","PZ","413.79","2025-06-25"
"BALERO 6208 2RS SKF","MANTENIMIENTO","PZ","",""
"BALERO 62206 TL","FERRETERIA","PZ","",""
"BALERO 62206.2RS FAG","FERRETERIA","PZ","",""
"BALERO 62208.2RS FAG","MANTENIMIENTO","PZ","",""
"BALERO 626 URB URB00626","FERRETERIA","PZ","",""
"BALERO 629 URB URB00629","FERRETERIA","PZ","",""
"BALERO 6301 2RS FA6","FERRETERIA","PZ","103.45","2024-02-01"
"BALERO 6301 2RS Z86","FERRETERIA","PZ","51.72","2024-02-01"
"BALERO FAG 7206B","FERRETERIA","PZ","",""
"BALERO FAG 7211B","FERRETERIA","PZ","",""
