id,code,name,category,stock,min,unit,cost,location,details,entryDate,species,lote,format,t,w,l,pt,quality
inv-madera-de-tzalam-mr-arbol-de-la-vida,07-010-09,Madera de Tzalam Mr,madera,0,0,pt,0,,,,,,,,,,,
inv-madera-estufada-tzalam-arbol-de-la-vida,07-010-10,Madera Estufada Tzalam,madera,0,0,pt,88,,,,,,,,,,,
inv-mdf-blanco-absoluto-mel-lobus-2-c-15x1-22x2-44,07-002-02,MDF Blanco Absoluto Mel Lobus 2c 15×1.22×2.44m,madera,0,0,hoja,508.62,,,,,,,,,,,
inv-mdf-blanco-cristal-mel-proteak-2-c-15x1-22x2-44,07-046-00,MDF Blanco Cristal Mel Proteak 2c 15×1.22×2.44m,madera,0,0,hoja,0,,,,,,,,,,,
inv-mdf-blanco-cristal-mel-proteak-2-c-18x1-22x2-44,07-046-01,MDF Blanco Cristal Mel Proteak 2c 18×1.22×2.44m,madera,0,0,hoja,602.59,,,,,,,,,,,
inv-mdf-blanco-cristal-mel-proteak-2-c-5-5x1-22x2-44,07-046-02,MDF Blanco Cristal Mel Proteak 2c 5.5×1.22×2.44m,madera,0,0,hoja,0,,,,,,,,,,,
inv-mdf-chapa-de-cedro-2-c-15x1-22x2-44,07-000-06,MDF Chapa de Cedro 2c 15×1.22×2.44m,madera,0,0,hoja,750,,,,,,,,,,,
inv-mdf-chapa-de-cedro-2-c-18x1-22x2-44,07-000-07,MDF Chapa de Cedro 2c 18×1.22×2.44m,madera,0,0,hoja,0,,,,,,,,,,,
inv-mdf-chapa-de-encino-1-c-4-2x1-22x2-44,07-000-08,MDF Chapa de Encino 1c 4.2×1.22×2.44m,madera,0,0,hoja,257.76,,,,,,,,,,,
inv-mdf-chapa-de-encino-1-c-4-5x1-22x2-44,07-000-09,MDF Chapa de Encino 1c 4.5×1.22×2.44m,madera,0,0,hoja,202.58,,,,,,,,,,,
inv-mdf-chapa-de-encino-2-c-15x1-22x2-44,07-000-10,MDF Chapa de Encino 2c 15×1.22×2.44m,madera,0,0,hoja,501.72,,,,,,,,,,,
inv-mdf-chapa-de-encino-2-c-18x1-22x2-44,07-000-11,MDF Chapa de Encino 2c 18×1.22×2.44m,madera,0,0,hoja,636.21,,,,,,,,,,,
inv-mdf-chapa-de-pino-2-c-15x1-22x2-44,07-000-12,MDF Chapa de Pino 2c 15×1.22×2.44m,madera,0,0,hoja,495.69,,,,,,,,,,,
inv-mdf-chapa-de-pino-2-c-18x1-22x2-44,07-000-13,MDF Chapa de Pino 2c 18×1.22×2.44m,madera,0,0,hoja,565.52,,,,,,,,,,,
inv-mdf-chapa-nogal-15mmx1220x2440-arauco,07-009-00,MDF Chapa Nogal 15mm 1.22×2.44m Arauco,madera,0,0,hoja,625.86,,,,,,,,,,,
inv-mdf-chapa-okume-15mmx1-22x2-44,07-000-14,MDF Chapa Okumé 15mm 1c 1.22×2.44m,madera,0,0,hoja,0,,,,,,,,,,,
inv-mdf-chapa-okume-18mmx1-22x2-44,07-000-15,MDF Chapa Okumé 18mm 1c 1.22×2.44m,madera,0,0,hoja,0,,,,,,,,,,,
inv-mdf-chapa-okume-5mmx1-22x2-44-1-c,07-000-16,MDF Chapa Okumé 5mm 1c 1.22×2.44m,madera,0,0,hoja,177.5,,,,,,,,,,,
inv-mdf-chapa-tzalam-12mmx4x8-1-c,07-000-17,MDF Chapa Tzalam 12mm 1c 1.22×2.44m,madera,0,0,hoja,700,,,,,,,,,,,
inv-mdf-chapa-tzalam-15mmx1220x244-2-c,07-000-18,MDF Chapa Tzalam 15mm 2c 1.22×2.44m,madera,0,0,hoja,589.65,,,,,,,,,,,
inv-mdf-chapa-tzalam-15mmx122x244-arauco,07-009-01,MDF Chapa Tzalam 15mm 2c 1.22×2.44m Arauco,madera,0,0,hoja,912.93,,,,,,,,,,,
inv-mdf-chapa-tzalam-18mmx1220x2440x,07-000-19,MDF Chapa Tzalam 18mm 2c 1.22×2.44m,madera,0,0,hoja,0,,,,,,,,,,,
inv-mdf-chapa-tzalam-18mmx1220x2440x-azul-fino-arauco,07-009-02,MDF Chapa Tzalam 18mm Azul Fino 1.22×2.44m Arauco,madera,0,0,hoja,0,,,,,,,,,,,
inv-mdf-fresno-invierno-mel-proteak-2-c-5-5x1-22x2-44-delg,07-046-03,MDF Fresno Invierno Mel Proteak 2c 5.5×1.22×2.44m Delg,madera,0,0,hoja,595.92,,,,,,,,,,,
inv-mdf-gris-claro-mate-arauco-15mmx1220x2440,07-009-03,MDF Gris Claro Mate 15mm 1.22×2.44m Arauco,madera,0,0,hoja,0,,,,,,,,,,,
inv-mdf-gris-lava-15mm,07-000-20,MDF Gris Lava 15mm,madera,0,0,hoja,0,,,,,,,,,,,
inv-mdf-lino-antologia-mel-proteak-2-c-15x1-22x2-44,07-046-04,MDF Lino Antologia Mel Proteak 2c 15×1.22×2.44m,madera,0,0,hoja,780.17,,,,,,,,,,,
inv-mdf-lino-boga-mel-proteak-2-c-15x1-22x2-44,07-046-05,MDF Lino Boga Mel Proteak 2c 15×1.22×2.44m,madera,0,0,hoja,780.17,,,,,,,,,,,
inv-mdf-macuil-mel-lobus-2-c-15x1-22x2-44,07-002-03,MDF Macuil Mel Lobus 2c 15×1.22×2.44m,madera,0,0,hoja,599.14,,,,,,,,,,,
inv-mdf-malta-15mmx1220x2440-arauco,07-009-04,MDF Malta 15mm 1.22×2.44m Arauco,madera,0,0,hoja,0,,,,,,,,,,,
inv-mdf-melaminado-maple-2-c-18mm,07-000-21,MDF Melaminado Maple 2c 18mm,madera,0,0,hoja,956.98,,,,,,,,,,,
inv-mdf-natural-3mm,07-000-22,MDF Natural 3mm,madera,0,0,hoja,0,,,,,,,,,,,
inv-mdf-natural-proteak-12mm,07-046-06,MDF Natural Proteak 12mm,madera,0,0,hoja,0,,,,,,,,,,,
inv-mdf-natural-proteak-15mm,07-046-07,MDF Natural Proteak 15mm,madera,0,0,hoja,378.44,,,,,,,,,,,
inv-mdf-natural-proteak-18mm,07-046-08,MDF Natural Proteak 18mm,madera,0,0,hoja,0,,,,,,,,,,,
inv-mdf-natural-proteak-5-5mm,07-046-09,MDF Natural Proteak 5.5mm,madera,0,0,hoja,0,,,,,,,,,,,
inv-mdf-natural-proteak-9mm,07-046-10,MDF Natural Proteak 9mm,madera,0,0,hoja,0,,,,,,,,,,,
inv-mdf-negro-mate-arauco-15mm-x-1220-x-2440,07-009-05,MDF Negro Mate 15mm 1.22×2.44m Arauco,madera,0,0,hoja,0,,,,,,,,,,,
inv-mdf-nogal-abismo-mel-proteak-2-c-15x1-22x2-44,07-046-11,MDF Nogal Abismo Mel Proteak 2c 15×1.22×2.44m,madera,0,0,hoja,0,,,,,,,,,,,
inv-mdf-oxford-mate-arauco-15mmx1220x2440,07-009-06,MDF Oxford Mate 15mm 1.22×2.44m Arauco,madera,0,0,hoja,0,,,,,,,,,,,
inv-mdf-rehau-rauvsio-super-mate-after-dark-2800x1300x19mm,07-000-23,MDF Rehau Super Mate After Dark 19mm 1.30×2.80m,madera,0,0,hoja,0,,,,,,,,,,,
inv-triplay-birch-lobus-reforzado-15x1-22x2-44,07-002-04,Triplay Birch Lobus Reforzado 15×1.22×2.44m,madera,0,0,hoja,0,,,,,,,,,,,
inv-triplay-birch-lobus-reforzado-18x1-22x2-44,07-002-05,Triplay Birch Lobus Reforzado 18×1.22×2.44m,madera,0,0,hoja,0,,,,,,,,,,,
inv-triplay-de-pino-asiatico-15mm-2c-1-22x2-44mt,07-000-24,Triplay Pino Asiático 15mm 2c 1.22×2.44m,madera,0,0,hoja,0,,,,,,,,,,,
inv-triplay-de-pino-asiatico-18mm-2c-1-22x2-44mt,07-000-25,Triplay Pino Asiático 18mm 2c 1.22×2.44m,madera,0,0,hoja,687.93,,,,,,,,,,,
inv-triplay-de-pino-chileno-15x1-22x2-44,07-000-26,Triplay de Pino Chileno 15×1.22×2.44m,madera,0,0,hoja,602.58,,,,,,,,,,,
inv-triplay-encino-5-2x1-22x2-44-1-c,07-000-27,Triplay Encino 5.2×1.22×2.44m 1c,madera,0,0,hoja,252.6,,,,,,,,,,,
inv-triplay-nogal-5mmx1220x2440,07-000-28,Triplay Nogal 5mm 1.22×2.44m,madera,0,0,hoja,317.24,,,,,,,,,,,
inv-triplay-para-cimbra-c-c-pulida-15x1-22x2-44,07-000-29,Triplay para Cimbra C+c Pulida 15×1.22×2.44m,madera,0,0,hoja,487.07,,,,,,,,,,,
